class,precision,recall,f1,support
2,0.9670781893004116,1.0,0.9832635983263598,235
v,1.0,0.9898132427843803,0.9948805460750852,589
z,0.991044776119403,1.0,0.9955022488755623,332
3,0.9915611814345991,1.0,0.9957627118644067,235
g,1.0,0.9923161361141603,0.9961432506887052,911
h,0.9923747276688453,1.0,0.996172772006561,911
d,1.0,0.995609220636663,0.9977997799779977,911
0,1.0,0.9956521739130435,0.9978213507625272,460
4,0.9956709956709957,1.0,0.9978308026030369,460
s,0.9971988795518207,1.0,0.9985974754558204,356
